id,name,hire_date,fire_date
69,Deborah Perry,2010-06-08,2010-08-17
70,Lauren Avila,2007-08-05,
71,Christine Franklin,2006-08-20,2007-10-28
72,Erin Shelton,2006-05-25,
73,Sara Elliott,2008-01-26,
74,Sarah Graham,2006-05-15,
75,Edward Clarke,2007-09-18,
76,Wendy Clark,2010-05-17,
77,Janet Becker,2006-08-27,
78,Christian Cruz,2008-09-26,2010-03-18
79,Lynn Edwards,2008-11-22,
80,Sandra Hess,2008-06-16,
81,Tyler Diaz,2009-10-16,
82,Victoria Sanchez,2007-02-12,
83,Jeffery Miller,2007-06-24,
84,Crystal Blackwell,2007-11-02,
85,Ashley Friedman,2007-07-13,
86,Victoria Freeman,2008-11-05,
87,Dylan Moore DDS,2007-12-06,
88,Jacob Daniels,2010-04-24,
89,Justin Long,2007-02-09,
90,Thomas Garrett,2006-10-17,
91,Paige Ortiz,2010-06-03,
92,James Brown,2008-03-05,
93,Makayla King,2008-11-04,
94,Andrea Johnson,2008-12-22,
95,Heather Anderson,2008-08-12,
96,Cassie Flores,2010-02-20,
97,Nathan Graham,2008-04-10,
98,Jennifer Nash,2009-03-25,
99,Mary Cox,2007-04-16,2008-12-20
100,Lauren Coleman,2010-06-11,
101,Laura Fuller,2014-05-24,
102,Zachary Dean,2011-10-09,
103,Marie Griffin,2013-01-11,
104,Tiffany Hernandez,2015-07-28,
105,Kelly Hernandez,2014-07-13,
106,Matthew Nguyen,2012-09-15,
107,Eric Ramos,2014-12-16,
108,Steve Hill,2013-04-11,
109,Mrs. Nicole Barr,2010-12-18,2012-03-25
110,Brenda Hughes,2016-04-17,
111,Michael Morgan,2011-02-08,
112,John Stewart,2011-04-13,
113,Douglas Brown,2015-08-28,
114,Paula Beasley,2016-10-08,
115,Jonathan Hull,2013-12-14,
116,Amy Summers,2011-03-31,
117,Rachel Tucker,2011-10-11,
118,Stephanie Adams,2016-07-29,
119,Meredith George,2011-05-25,
120,Cynthia Martinez,2011-08-30,
121,Nicole Whitaker,2014-03-08,
122,Scott Chung,2015-05-30,
123,Krista Nunez,2013-04-13,2016-04-09
124,Latoya White,2011-10-07,2015-08-14
125,Christopher Cortez,2015-11-16,
126,Joseph Dawson,2013-12-11,
127,Christopher Calhoun,2014-02-17,
128,Brian Campbell,2010-08-27,
129,Julie Allen,2015-07-14,
130,Kaitlyn Johnson,2016-08-06,
131,Randy Brennan,2013-10-04,
132,Jennifer Collier,2012-10-14,
133,Jessica Reyes,2013-04-27,
134,Anita Dodson,2013-11-15,2015-11-20
135,Jason Abbott,2013-07-26,
136,Christine Rhodes,2012-11-03,
137,Matthew Ellis,2012-09-28,
138,Misty Miller,2011-11-28,
139,Kendra Moore,2015-04-28,
140,Tammy Beltran,2012-04-10,
141,Austin Rodriguez,2016-08-25,
142,Michael Perez,2013-09-25,
143,Kristina Wolfe,2011-06-05,
144,Jacob Daniels,2013-02-19,
145,Sarah Payne,2011-09-22,
146,Tracy Hubbard,2012-09-29,
147,Jennifer Porter,2016-09-27,
148,Tina Maxwell,2015-07-08,
149,Wendy Johnson,2015-02-18,
150,Eric Washington,2013-07-30,2014-02-23
151,Omar Lucas,2013-02-07,
152,Christy Castillo,2011-03-27,
153,Tracy Thomas,2015-11-23,
154,Angie Koch,2015-09-24,
155,Danielle Johnson,2011-09-19,
156,Joshua Russell,2016-02-23,
157,Lisa Adams,2016-05-08,
158,Dalton Miller,2014-10-08,
159,Robert Rodriguez,2012-01-21,
160,Rachel Jones,2013-08-27,
161,Steven Smith,2014-09-07,
162,Elizabeth Moore,2015-11-29,
163,Alison Jenkins,2013-03-25,
164,Mitchell Mcmahon,2014-05-29,
165,Laura Gilbert,2011-10-23,
166,Gary Martin,2013-04-08,
167,Michael Hill,2010-12-11,
168,Brandon Scott,2011-12-01,
169,Trevor Allen,2015-04-20,
170,Matthew Evans,2011-09-26,2015-12-11
171,Tammy Jacobs,2013-04-05,
172,Harold Holland,2013-10-05,
173,Brandon Johnson,2011-02-01,2016-07-24
174,David Soto,2012-02-20,
175,Deborah Moore,2015-04-27,
176,Stacey Bolton,2013-01-18,
177,Brian Russo,2013-12-24,
178,Paul Porter,2014-12-29,2016-03-11
179,Sandra Saunders,2014-12-06,
180,Kathleen Waters,2013-11-09,
181,Margaret Phelps,2011-11-19,
182,Stephanie Hansen,2013-05-02,
183,Emily Carrillo,2016-04-14,
184,William Gray,2013-01-05,
185,Marissa Jones,2014-09-02,
186,Jessica Adams,2014-10-22,
187,Sharon Taylor,2016-05-13,2016-09-30
188,Steven Martinez,2011-05-14,
189,Mr. Jonathan Stevens,2011-08-09,
190,Dennis Hill,2012-07-10,
191,Elizabeth Baird,2013-06-19,
192,Larry Vega,2013-04-15,
193,Nathan Rodgers,2014-04-17,2016-04-21
194,Gail Sosa,2016-02-28,
195,Heather Cunningham,2012-11-26,
196,Lindsey Juarez,2013-01-21,
197,Miss Michelle Rogers,2013-07-29,
198,Marcus Smith,2014-04-25,
199,Jacqueline Fernandez,2015-09-25,
200,Ian Wilcox,2015-04-30,
